Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
sir,10,9,1,0.05,1.00E-06,1,20,0.1,tanh,25,88,0.002056862,54.68460178,0.048504157,0.05169397,0.138707508,0.010273615,0.039640245,0.025765546,0.102672502,converge,0.000901039,0.184943343,0.011552322,0.058422963,0.010878482,0.043779375
sir,10,9,1,0.05,1.00E-06,2,20,0.1,tanh,25,516,0.002211835,430.8462994,5.72653401,5.716035563,1.302214559,21.79499674,2.076019789,0.050039003,0.168857518,converge,0.002038921,1.736286078,0.015609078,0.060304789,0.015211343,0.056347605
sir,10,9,1,0.1,1.00E-06,1,10,0.1,tanh,25,403,0.002613243,244.6507692,0.214651741,0.225963949,0.192144855,0.927225688,0.329305071,2.506137255,0.957013413,converge,0.00156438,0.25619314,1.002955421,0.410512308,0.956643188,0.311972675
sir,10,9,1,0.1,1.00E-06,2,10,0.1,tanh,25,393,0.007060879,327.4665477,14.73564424,14.69893717,1.800557049,8.961741871,1.843357241,0.172206395,0.282899145,converge,0.017978831,2.400742733,0.066899831,0.165142006,0.058953563,0.12284199
sir,10,9,1,0.1,1.00E-06,1,15,0.1,tanh,25,263,0.007438351,166.312201,4.68796081,4.672646484,1.122635495,1.888482437,0.740843316,0.085265878,0.21060954,converge,0.003976348,1.496847326,0.027449315,0.091173984,0.025776521,0.068017393
sir,10,9,1,0.1,1.00E-06,2,15,0.1,tanh,25,111,0.006850039,93.2090838,0.052608723,0.060625903,0.145227062,0.119345963,0.119993668,0.438339526,0.484137082,converge,0.003492831,0.193636083,0.14664432,0.209371576,0.123744981,0.125137187
sir,10,9,1,0.1,1.00E-06,1,20,0.1,tanh,25,101,0.006870985,64.22810721,0.051783807,0.059790611,0.144144625,0.029317534,0.06515424,0.07628269,0.177441902,converge,0.003517153,0.192192834,0.035152186,0.101076999,0.030384531,0.06761512
sir,10,9,1,0.1,1.00E-06,2,20,0.1,tanh,25,257,0.008894476,221.1587563,4.577460851,4.561599121,1.145433247,13.49249472,1.55933391,0.033237601,0.127769675,converge,0.004322083,1.527244329,0.009343323,0.058823626,0.005612866,0.038939575
sir,3,2,3,0,1.00E-06,1,10,0.1,tanh,25,206,0.000102825,16.0011363,0.003314673,0.003314673,0.025346634,0.011671896,0.059702309,0.014918246,0.076011538,converge,0.000276939,0.033795512,0.017711838,0.077689432,0.01737166,0.078045004
sir,3,2,3,0,1.00E-06,2,10,0.1,tanh,25,251,5.15E-05,29.88052177,0.002694085,0.002694084,0.020482623,0.004750552,0.04054659,0.006365792,0.054960448,converge,0.000267073,0.027310164,0.006591464,0.048874933,0.006280375,0.048117919
sir,3,2,3,0,1.00E-06,1,15,0.1,tanh,25,251,3.49E-05,24.42407227,0.105323142,0.105323156,0.091563934,0.012662226,0.06655077,0.00780618,0.059209349,converge,0.006084064,0.122085246,0.007974782,0.052170463,0.00815259,0.058205849
