tB,tS,tP,tD,t,Run,Sf,F,tV,dBdt,dSdt,dPdt,dVdt
57.2066769076104,63.41018088521567,14.930738185881747,0.007308970099667776,135.0,6,525.0,0.11,15.049999999999997,-0.6423993635738698,-0.19665109562415584,0.01077224777553798,0.11
55.33615908078331,62.84458394502923,14.953835592140807,0.007152145643693109,138.0,6,525.0,0.11,15.379999999999997,-0.6049538754901387,-0.18075984680286306,0.004719221343774893,0.11
53.57490081738521,62.32365748264054,14.95960287324548,0.0070019096117122865,141.0,6,525.0,0.11,15.709999999999997,-0.5695605925231216,-0.16683346603320048,-0.0007845624154741437,0.11
51.916752007344975,61.84183225494613,14.949655217690738,0.0068578553615960105,144.0,6,525.0,0.11,16.04,-0.5362104569071208,-0.15465846484476264,-0.005761412670792276,0.11
50.35562872979094,61.39414964559681,14.925535894982753,0.006719609040928529,147.0,6,525.0,0.11,16.369999999999997,-0.5048694384624262,-0.1440409582099318,-0.010236797275257614,0.11
48.885579217130974,60.97620533285963,14.888708260171374,0.006586826347305391,150.0,6,525.0,0.11,16.699999999999996,-0.47548444086403047,-0.13480503071471572,-0.014238364779056878,0.11
47.500833316130596,60.58409767069943,14.840550505370087,0.006459189665296537,153.0,6,525.0,0.11,17.029999999999994,-0.4479882092032993,-0.12679122988682723,-0.017795118248829123,0.11
46.19583820176093,60.21438051504349,14.782352723147545,0.006336405529953918,156.0,6,525.0,0.11,17.359999999999996,-0.42230335956388804,-0.11985517988779693,-0.02093673085727671,0.11
44.96528531511744,59.86401972048523,14.715315553204096,0.0062182023742227265,159.0,6,525.0,0.11,17.689999999999994,-0.39834572432213444,-0.11386638195823551,-0.023692966592368858,0.11
43.80412457608106,59.53035336165751,14.64055088352689,0.006104328523862375,162.0,6,525.0,0.11,18.02,-0.3760269621340257,-0.10870698882772967,-0.026093246289761285,0.11
42.70757468872712,59.21105521257909,14.559083305003362,0.005994550408719347,165.0,6,525.0,0.11,18.349999999999998,-0.3552567095440169,-0.10427079351073854,-0.02816628243310193,0.11
41.6711263916973,58.904101418723315,14.471852667701034,0.0058886509635974315,168.0,6,525.0,0.11,18.679999999999996,-0.3359442417190818,-0.10046226362591648,-0.029939809956183117,0.11
40.690541269157876,58.60774005724311,14.379717352324871,0.0057864281956864815,171.0,6,525.0,0.11,19.009999999999998,-0.31799975538377545,-0.09719565899476112,-0.03144038878360292,0.11
39.76184775166762,58.32046266765191,14.28345800317522,0.005687693898655637,174.0,6,525.0,0.11,19.339999999999996,-0.30133537437561875,-0.09439422046300683,-0.032693258873791375,0.11
38.88133415559106,58.040978405472224,14.183781640198111,0.0055922724961870885,177.0,6,525.0,0.11,19.669999999999995,-0.28586588482254915,-0.09198942054955017,-0.03372224858358561,0.11
38.045539675080335,57.768190723523965,14.081325979482328,0.005500000000000001,180.0,6,525.0,0.11,19.999999999999996,-0.27150925207295995,-0.08992027990036222,-0.034549725409829535,0.11
37.25124435599197,57.501175391868856,13.976663868061216,0.005410723069355634,183.0,6,525.0,0.11,20.329999999999995,-0.2581869999222975,-0.08813272177725517,-0.035196574525375834,0.11
36.495458059028,57.239160782316034,13.870307711659592,0.005324298160697001,186.0,6,525.0,0.11,20.659999999999993,-0.2458244441268568,-0.08657898592003566,-0.0356822046716406,0.11
35.775408855543475,56.98150983049312,13.76271385990148,0.0052405907575035745,189.0,6,525.0,0.11,20.989999999999995,-0.2343508234211472,-0.08521708226208169,-0.03602457396820277,0.11
35.08853108606541,56.727703383465524,13.654286933710921,0.005159474671669796,192.0,6,525.0,0.11,21.319999999999993,-0.22369935414417785,-0.08401027231740388,-0.03624023127094833,0.11
34.432453498903485,56.47732521862393,13.545383954462958,0.005080831408775984,195.0,6,525.0,0.11,21.64999999999999,-0.21380722013478135,-0.08292659919149514,-0.03634436747708253,0.11
33.8049874440544,56.230048403360314,13.43631832016896,0.005004549590536853,198.0,6,525.0,0.11,21.979999999999993,-0.20461551502597441,-0.08193844654398896,-0.036350875279096306,0.11
7.5,0.0,0.0,0.55,0.0,7,525.0,0.11,0.2,-4.4664473684210515,288.7178571428571,0.0,0.11
4.794314499007405,322.49094278076797,0.028648822350425193,0.20754716981132088,3.0,7,525.0,0.11,0.5299999999999997,0.33502846388723434,39.16280779461542,-0.0007906097269309836,0.11
7.368351374352131,390.7065811049331,0.03130496186626968,0.1279069767441862,6.0,7,525.0,0.11,0.8599999999999992,1.3849257246441293,12.173725195717525,0.0026161306951743915,0.11
13.34297372349489,410.68754804970314,0.0456561379890267,0.092436974789916,9.0,7,525.0,0.11,1.1899999999999995,2.6302456960290264,2.237333642013944,0.0073025696270733725,0.11
23.100277512694294,408.1483944161807,0.07765180501264911,0.07236842105263158,12.0,7,525.0,0.11,1.5199999999999998,3.822206045854702,-3.452902007568907,0.01447862494006215,0.11
35.78717214529978,392.4099570091103,0.1350998863036,0.05945945945945948,15.0,7,525.0,0.11,1.8499999999999996,4.541083163344767,-6.689545054108615,0.02420543939254595,0.11
49.81397406394306,369.76043703137356,0.22485887346342548,0.050458715596330285,18.0,7,525.0,0.11,2.1799999999999997,4.734038076774207,-8.17752201341823,0.03590710067903283,0.11
63.830471837035745,344.42133789675177,0.3518863574635741,0.04382470119521913,21.0,7,525.0,0.11,2.5099999999999993,4.565263021204737,-8.582263317444784,0.048958391135397045,0.11
77.0093197600659,318.85076811844704,0.5194788738022258,0.0387323943661972,24.0,7,525.0,0.11,2.839999999999999,4.198129743899122,-8.396436198681808,0.06288362550560658,0.11
88.92835075858883,294.3286999893019,0.7297113875554972,0.03470031545741326,27.0,7,525.0,0.11,3.169999999999999,3.7385451185704768,-7.920271928052605,0.07733437968027568,0.11
99.40848623790203,271.44937525549454,0.9837313413615428,0.03142857142857144,30.0,7,525.0,0.11,3.4999999999999987,3.24595376284209,-7.321355915006219,0.09203225069365017,0.11
108.40306419632081,250.4323556955032,1.2819034902237894,0.0287206266318538,33.0,7,525.0,0.11,3.8299999999999983,2.7518705013891713,-6.689256682597619,0.10672898545663631,0.11
115.93485020705667,231.30014265779454,1.6238652830066127,0.02644230769230771,36.0,7,525.0,0.11,4.1599999999999975,2.272680473890713,-6.070087534710892,0.12118576722999116,0.11
122.06275222825647,213.9761437626975,2.008540859767424,0.024498886414253917,39.0,7,525.0,0.11,4.489999999999997,1.816971922482057,-5.486191214535115,0.13516533298140015,0.11
126.864908873772,198.33804710284926,2.4341439818654407,0.022821576763485493,42.0,7,525.0,0.11,4.819999999999997,1.3894289854067405,-4.9470218347606565,0.14843176606977276,0.11
130.43026212221883,184.24661300401965,2.898187529682247,0.021359223300970887,45.0,7,525.0,0.11,5.149999999999997,0.9927895832769889,-4.455137609334703,0.16075466318316517,0.11
132.85428277673,171.56090583692122,3.397509337214456,0.02007299270072994,48.0,7,525.0,0.11,5.479999999999996,0.6287661772785749,-4.0095136253518895,0.17191557718435563,0.11
134.23656616282776,160.1460197709037,3.928318947127364,0.018932874354561115,51.0,7,525.0,0.11,5.809999999999996,0.2984331728209554,-3.607378312522851,0.18171532996982548,0.11
134.6791553481105,149.8766462289558,4.486266348106134,0.01791530944625408,54.0,7,525.0,0.11,6.139999999999997,0.0023576380243003573,-3.245227582074672,0.1899812134745289,0.11
134.28506927386422,140.63835907470983,5.066531228086299,0.017001545595054107,57.0,7,525.0,0.11,6.469999999999997,-0.25937704197025274,-2.919376016710351,0.19657336648157014,0.11
133.15684476549285,132.3276775802179,5.663929461224439,0.0161764705882353,60.0,7,525.0,0.11,6.799999999999998,-0.4871764571627617,-2.6262455459252516,0.20138981958913688,0.11
131.39506992213242,124.85150638458495,6.273032312144211,0.015427769985974758,63.0,7,525.0,0.11,7.129999999999999,-0.681931998574639,-2.362504990638822,0.2043698807513764,0.11
129.09695961796783,118.12629679037343,6.888293040312439,0.014745308310991958,66.0,7,525.0,0.11,7.459999999999999,-0.8449945108219054,-2.1251259329175207,0.20549566850152828,0.11
126.35504829775773,112.07711545039933,7.504175254055576,0.014120667522464702,69.0,7,525.0,0.11,7.789999999999999,-0.9781231799076567,-1.911392471524044,0.20479176405080168,0.11
123.25606697237394,106.63672348214327,8.115277555200388,0.013546798029556653,72.0,7,525.0,0.11,8.12,-1.0834143386554274,-1.7188868904322172,0.2023230606817887,0.11
119.88005594462322,101.74471942885475,8.716449173345955,0.013017751479289942,75.0,7,525.0,0.11,8.45,-1.1632176130431902,-1.545464173720184,0.19819101134301276,0.11
116.29973743890795,97.34676464044533,9.302892339059335,0.01252847380410023,78.0,7,525.0,0.11,8.78,-1.2200473990439922,-1.3892223619663469,0.19252856356324052,0.11
112.58015204418899,93.39389901984026,9.870247916039764,0.012074643249176729,81.0,7,525.0,0.11,9.11,-1.2564965189993709,-1.2484729288597487,0.18549412615722422,0.11
108.77854386847312,89.84194269867609,10.414661954956907,0.011652542372881358,84.0,7,525.0,0.11,9.44,-1.2751574888102142,-1.1217131694951847,0.17726495625394656,0.11
104.94446555903424,86.65097636153482,10.932832038155869,0.011258955987717503,87.0,7,525.0,0.11,9.77,-1.2785549789795014,-1.007601543196171,0.1680303514859044,0.11
101.12006808913935,83.78489096095728,11.42203338365449,0.010891089108910894,90.0,7,525.0,0.11,10.099999999999998,-1.2690914447855572,-0.9049362858208312,0.1579850175057072,0.11
97.3405305136447,81.21099615654137,11.880125638705243,0.010546500479386389,93.0,7,525.0,0.11,10.429999999999996,-1.2490063689317896,-0.8126370278038673,0.14732291407450182,0.11
93.63459417713548,78.89968029433803,12.305542329844005,0.010223048327137552,96.0,7,525.0,0.11,10.759999999999994,-1.2203485926608921,-0.7297293617909419,0.13623183431827962,0.11
90.02516094051924,76.8241125899675,12.69726534541782,0.009918845807033368,99.0,7,525.0,0.11,11.089999999999995,-1.184960401571148,-0.655331849187065,0.12488888373710383,0.11
86.52992416285956,74.95998086353417,13.054787319030257,0.009632224168126102,102.0,7,525.0,0.11,11.419999999999993,-1.1444716500000127,-0.5886451444291501,0.11345695562403335,0.11
83.16200433634529,73.28525948367795,13.378064980012587,0.009361702127659582,105.0,7,525.0,0.11,11.749999999999991,-1.100301953610593,-0.5289428841904638,0.10208221362458059,0.11
79.93056860887764,71.78000216397552,13.667466405621484,0.009105960264900669,108.0,7,525.0,0.11,12.079999999999991,-1.0536690836949978,-0.4755640033838455,0.09089254428409232,0.11
76.84141800412873,70.4261561556514,13.92371497270888,0.008863819500402909,111.0,7,525.0,0.11,12.40999999999999,-1.0056017662329835,-0.42790621596527245,0.07999688291574186,0.11
73.89753158448296,69.20739449185206,14.147832453579246,0.008634222919937214,114.0,7,525.0,0.11,12.73999999999999,-0.9569553522053902,-0.3854204175739171,0.0694852898689658,0.11
71.09956098029274,68.10896390083893,14.341083279161118,0.008416220351951042,117.0,7,525.0,0.11,13.069999999999988,-0.9084290653504485,-0.3476058269165936,0.059429635405152226,0.11
68.44627209013377,67.11754637651163,14.504921595695222,0.008208955223880605,120.0,7,525.0,0.11,13.399999999999986,-0.8605837993805053,-0.31400571184013293,0.04988474688325989,0.11
65.93493359453477,66.2211328392024,14.640942275718702,0.008011653313911151,123.0,7,525.0,0.11,13.729999999999986,-0.8138596853930516,-0.2842035864486596,0.04088987979985115,0.11
63.56165392182494,65.40890757429503,14.750836690568176,0.00782361308677099,126.0,7,525.0,0.11,14.059999999999985,-0.7685928713614195,-0.2578197917542302,0.032470387531232936,0.11
61.32166915617495,64.67114260456349,14.836353569747674,0.0076441973592772825,129.0,7,525.0,0.11,14.389999999999986,-0.7250311175211412,-0.23450839058048034,0.02463948176980857,0.11
59.20958686041601,63.999100679982945,14.89926531077245,0.007472826086956529,132.0,7,525.0,0.11,14.719999999999986,-0.683348030951402,-0.21395434167600724,0.017400000972888907,0.11
57.2195889218521,63.38494662130709,14.941339406451775,0.007308970099667781,135.0,7,525.0,0.11,15.049999999999986,-0.643655780077291,-0.1958709066885449,0.010746116940203165,0.11
55.34559861427277,62.82166603687757,14.964314877241803,0.007152145643693115,138.0,7,525.0,0.11,15.379999999999987,-0.6060163021595874,-0.17999726946906636,0.004664934468107118,0.11
53.5814163296122,62.30299082472923,14.969883322344598,0.007001909611712291,141.0,7,525.0,0.11,15.709999999999987,-0.5704510474867265,-0.1660963499747785,-0.0008620465421487755,0.11
51.920828355857424,61.82333104141708,14.959674075176904,0.0068578553615960165,144.0,7,525.0,0.11,16.039999999999985,-0.5369493456520548,-0.15395280838782144,-0.005857622205398927,0.11
50.35769215028864,61.377712470822146,14.935243085003453,0.0067196090409285345,147.0,7,525.0,0.11,16.369999999999983,-0.5054754997261672,-0.14337120210919174,-0.010347739681782486,0.11
48.886002191295795,60.96171950373921,14.898064987289398,0.006586826347305395,150.0,7,525.0,0.11,16.699999999999985,-0.47597474464940887,-0.13417430388038643,-0.014360510949211647,0.11
47.499939504562896,60.57144283188659,14.849527901756739,0.006459189665296541,153.0,7,525.0,0.11,17.029999999999987,-0.4483781993176943,-0.12620156372410962,-0.017925378431958794,0.11
46.193907554526064,60.203431567898306,14.790930541445661,0.006336405529953921,156.0,7,525.0,0.11,17.35999999999999,-0.42260693650785486,-0.11930769991743828,-0.02107242262627479,0.11
44.96255781422468,59.854649383004435,14.723481078178196,0.006218202374222727,159.0,7,525.0,0.11,17.68999999999999,-0.3985753138271237,-0.11336143875186266,-0.023831789990640284,0.11
43.800805249773475,59.522434271265425,14.648297737485072,0.006104328523862378,162.0,7,525.0,0.11,18.019999999999992,-0.3761936329750251,-0.1082443226518035,-0.026233244321059612,0.11
42.70383736731153,59.204461567903124,14.566410492193539,0.005994550408719348,165.0,7,525.0,0.11,18.349999999999994,-0.3553702754719479,-0.10384964172912259,-0.028305809567208073,0.11
41.66711704820418,58.898710415996916,14.478763717566961,0.0058886509635974315,168.0,7,525.0,0.11,18.679999999999996,-0.33601335835725743,-0.10008145238346833,-0.03007750254943603,0.11
