dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-7.4433866,-0.2357609,0.24175829,0.17799275,0.012908995,0.014717296,3.0,2
-7.0431533,-0.22645251,0.22932722,0.16808684,0.012142957,0.014873995,3.12,2
-6.662168,-0.2175336,0.21751243,0.15866935,0.0114204455,0.015010904,3.24,2
-6.2993975,-0.20898618,0.20628127,0.1497145,0.010738801,0.015129208,3.36,2
-5.9538784,-0.20079303,0.19560294,0.14119819,0.0100955665,0.015230016,3.48,2
-5.624708,-0.19293804,0.18544908,0.13309786,0.00948847,0.015314341,3.6,2
-5.311047,-0.18540582,0.1757927,0.12539235,0.008915424,0.015383149,3.72,2
-5.012101,-0.17818172,0.16660874,0.11806183,0.008374481,0.0154373,3.84,2
-4.727128,-0.17125177,0.15787347,0.111087576,0.007863825,0.015477621,3.96,2
-4.4554305,-0.1646028,0.1495648,0.10445198,0.0073817982,0.015504868,4.08,2
-4.1963544,-0.15822214,0.14166152,0.098138615,0.0069268155,0.015519755,4.2,2
-3.949278,-0.15209791,0.13414423,0.092131704,0.0064974334,0.015522953,4.32,2
-3.713614,-0.14621858,0.1269939,0.0864165,0.00609226,0.015515075,4.44,2
-3.4888177,-0.14057331,0.12019328,0.080979005,0.005710064,0.015496729,4.56,2
-3.2743628,-0.13515171,0.113725364,0.07580615,0.005349595,0.015468429,4.68,2
-3.0697587,-0.12994388,0.1075744,0.07088533,0.0050097494,0.015430713,4.8,2
-2.8745377,-0.12494044,0.101725794,0.06620471,0.004689483,0.01538405,4.92,2
-2.6882572,-0.12013235,0.09616503,0.061753,0.004387788,0.01532893,5.04,2
-2.5104992,-0.11551103,0.09087875,0.057519633,0.004103723,0.0152657535,5.16,2
-2.3408644,-0.11106827,0.08585431,0.05349445,0.0038364194,0.015194935,5.279999999999999,2
-2.1789763,-0.106796265,0.081079446,0.049667813,0.003585035,0.015116871,5.4,2
-2.0244763,-0.10268757,0.0765427,0.046030626,0.0033487806,0.015031909,5.52,2
-1.8770239,-0.098735034,0.072233304,0.042574137,0.0031269335,0.0149404,5.64,2
-1.7362944,-0.09493181,0.06814055,0.039290167,0.0029187603,0.014842672,5.76,2
-1.6019824,-0.091271505,0.06425482,0.036170833,0.0027236205,0.014739038,5.88,2
-1.4737942,-0.08774783,0.06056648,0.033208653,0.0025408755,0.01462979,6.0,2
-1.3514487,-0.08435488,0.057066806,0.030396475,0.0023699277,0.014515193,6.12,2
-1.2346843,-0.08108699,0.05374702,0.027727613,0.0022102033,0.014395515,6.24,2
-1.1232475,-0.07793873,0.050599195,0.025195498,0.0020611905,0.014271011,6.359999999999999,2
-1.0168959,-0.07490492,0.047615383,0.022794029,0.0019223532,0.014141927,6.48,2
-0.91540146,-0.07198064,0.044788457,0.020517262,0.0017932338,0.014008475,6.6,2
