dBdt,dSdt,dPdt,dVdt,t,Run
-1.4857235,0.16005564,0.09726814,0.11000001,120.0,5
-1.4234663,0.18578093,0.086230546,0.11000001,123.0,5
-1.3514049,0.18790771,0.0748218,0.11000001,126.0,5
-1.271083,0.16911912,0.06320398,0.11000001,129.0,5
-1.1840258,0.13218695,0.051521793,0.11000001,132.0,5
-1.0917614,0.07991625,0.0399108,0.11000001,135.0,5
-0.99578696,0.015103206,0.028489262,0.11000001,138.0,5
-0.8975045,-0.059553172,0.017361883,0.11000001,141.0,5
-0.7982498,-0.14146617,0.0066160075,0.11000001,144.0,5
-0.69924974,-0.22827959,-0.0036728028,0.11000001,147.0,5
-0.60160404,-0.31773734,-0.013440831,0.11000001,150.0,5
-0.5062892,-0.40790886,-0.022643961,0.11000001,153.0,5
-0.41417387,-0.49700013,-0.0312405,0.11000001,156.0,5
-0.32600206,-0.583494,-0.039207704,0.11000001,159.0,5
-0.24236196,-0.66607124,-0.04652934,0.11000001,162.0,5
-0.16377431,-0.74363095,-0.05319773,0.11000001,165.0,5
-0.090623975,-0.8152922,-0.059210982,0.11000001,168.0,5
-0.02320574,-0.8803123,-0.06457691,0.11000001,171.0,5
0.038284674,-0.93814415,-0.069309324,0.11000001,174.0,5
0.09372597,-0.9884033,-0.07342138,0.11000001,177.0,5
0.14308017,-1.030842,-0.076933816,0.11000001,180.0,5
0.18635508,-1.0653046,-0.07987214,0.11000001,183.0,5
0.22363432,-1.0917972,-0.082259506,0.11000001,186.0,5
0.25503543,-1.110345,-0.08412638,0.11000001,189.0,5
0.2807104,-1.1211605,-0.085499555,0.11000001,192.0,5
0.3008627,-1.1243585,-0.08640553,0.11000001,195.0,5
0.31570128,-1.1202635,-0.08687923,0.11000001,198.0,5
-27.392057,325.27216,1.8826686,0.11000001,0.0,6
4.1151104,28.305634,-0.3107808,0.11000001,3.0,6
4.975791,1.4270669,-0.26894552,0.11000001,6.0,6
4.809524,-5.441581,-0.20176008,0.11000001,9.0,6
4.355277,-7.271268,-0.12133758,0.11000001,12.0,6
3.8370152,-7.35411,-0.037346218,0.11000001,15.0,6
3.3635218,-6.8704467,0.038264625,0.11000001,18.0,6
2.9677532,-6.2934203,0.09850042,0.11000001,21.0,6
2.642515,-5.790989,0.14187971,0.11000001,24.0,6
2.3668106,-5.3994994,0.17019995,0.11000001,27.0,6
2.1192403,-5.104468,0.18653187,0.11000001,30.0,6
1.8833082,-4.8771596,0.19405727,0.11000001,33.0,6
1.6486231,-4.6897793,0.19554807,0.11000001,36.0,6
1.4103824,-4.5208993,0.19320454,0.11000001,39.0,6
1.1680574,-4.356286,0.18867826,0.11000001,42.0,6
0.92399645,-4.187655,0.18315665,0.11000001,45.0,6
0.6821021,-4.011186,0.17746651,0.11000001,48.0,6
0.44674212,-3.825767,0.17215732,0.11000001,51.0,6
0.22198471,-3.631756,0.16757528,0.11000001,54.0,6
0.0111278705,-3.4300826,0.16390198,0.11000001,57.0,6
-0.18355112,-3.2217622,0.16119565,0.11000001,60.0,6
-0.3608096,-3.0075893,0.15941063,0.11000001,63.0,6
-0.52026844,-2.7883816,0.15841582,0.11000001,66.0,6
-0.6622992,-2.5648856,0.15801907,0.11000001,69.0,6
-0.7876851,-2.3381028,0.15798073,0.11000001,72.0,6
-0.8974553,-2.1093175,0.15804268,0.11000001,75.0,6
-0.99263686,-1.8803498,0.15793753,0.11000001,78.0,6
-1.0741796,-1.6534048,0.15741894,0.11000001,81.0,6
-1.142848,-1.4310604,0.1562673,0.11000001,84.0,6
-1.1991543,-1.2162398,0.15430762,0.11000001,87.0,6
-1.2434748,-1.0118376,0.15140904,0.11000001,90.0,6
-1.2760273,-0.8207299,0.14749481,0.11000001,93.0,6
-1.2969567,-0.6455434,0.14253291,0.11000001,96.0,6
-1.3063984,-0.48844907,0.13653499,0.11000001,99.0,6
-1.3045435,-0.35122868,0.12955321,0.11000001,102.0,6
-1.2916859,-0.23500276,0.12166668,0.11000001,105.0,6
-1.2682629,-0.14029916,0.11297916,0.11000001,108.0,6
-1.234848,-0.067158155,0.10360965,0.11000001,111.0,6
-1.1921605,-0.01502341,0.093690485,0.11000001,114.0,6
-1.1410764,0.017149081,0.08335527,0.11000001,117.0,6
