dBdt,dSdt,dPdt,dVdt,t,Run
3.1682868,8.727112,-0.017771386,0.11000001,6.0,4
3.4528487,0.46730894,-0.019444335,0.11000001,9.0,4
3.5280023,-2.8852634,-0.004532239,0.11000001,12.0,4
3.5403666,-4.4708824,0.020572122,0.11000001,15.0,4
3.5226688,-5.3151817,0.048261687,0.11000001,18.0,4
3.4570746,-5.793164,0.07336047,0.11000001,21.0,4
3.3242962,-6.049642,0.09387373,0.11000001,24.0,4
3.1197255,-6.1515546,0.10974404,0.11000001,27.0,4
2.850843,-6.1390853,0.12171951,0.11000001,30.0,4
2.5310986,-6.041081,0.13074906,0.11000001,33.0,4
2.175449,-5.879712,0.13772115,0.11000001,36.0,4
1.7979366,-5.672068,0.14337493,0.11000001,39.0,4
1.4107153,-5.4311924,0.1482841,0.11000001,42.0,4
1.0238348,-5.1669064,0.15286101,0.11000001,45.0,4
0.64534503,-4.8864865,0.1573723,0.11000001,48.0,4
0.28155398,-4.5953636,0.16195047,0.11000001,51.0,4
-0.06268715,-4.2975607,0.16660742,0.11000001,54.0,4
-0.38371608,-3.9961987,0.17124392,0.11000001,57.0,4
-0.67882603,-3.6938133,0.17566577,0.11000001,60.0,4
-0.9461032,-3.3926063,0.17960206,0.11000001,63.0,4
-1.1842341,-3.0946956,0.18272631,0.11000001,66.0,4
-1.39243,-2.8021543,0.18468875,0.11000001,69.0,4
-1.5703509,-2.5171301,0.18514647,0.11000001,72.0,4
-1.7180339,-2.241782,0.18379733,0.11000001,75.0,4
-1.8358985,-1.9782842,0.18041514,0.11000001,78.0,4
-1.9247254,-1.7286869,0.17487387,0.11000001,81.0,4
-1.9856399,-1.4948378,0.1671637,0.11000001,84.0,4
-2.020106,-1.2783039,0.15740047,0.11000001,87.0,4
-2.0298939,-1.0802892,0.14581436,0.11000001,90.0,4
-2.017051,-0.9015827,0.13273695,0.11000001,93.0,4
-1.9838476,-0.74256366,0.11857084,0.11000001,96.0,4
-1.9327117,-0.60322,0.1037603,0.11000001,99.0,4
-1.8661851,-0.48317626,0.08875876,0.11000001,102.0,4
-1.7868379,-0.38176867,0.0739971,0.11000001,105.0,4
-1.6972314,-0.29810727,0.0598609,0.11000001,108.0,4
-1.5998199,-0.23113523,0.04667047,0.11000001,111.0,4
-1.4969473,-0.17969505,0.034672823,0.11000001,114.0,4
-1.3907782,-0.14257926,0.024037724,0.11000001,117.0,4
-1.2832909,-0.11855567,0.014860512,0.11000001,120.0,4
-1.1762224,-0.1064238,0.0071700322,0.11000001,123.0,4
-1.071097,-0.10496699,0.0009399298,0.11000001,126.0,4
-0.9692015,-0.11302859,-0.003901593,0.11000001,129.0,4
-0.8715995,-0.12944973,-0.0074597704,0.11000001,132.0,4
-0.77914834,-0.15308905,-0.009861838,0.11000001,135.0,4
-0.6924815,-0.18283533,-0.011248284,0.11000001,138.0,4
-0.612073,-0.21756342,-0.011765747,0.11000001,141.0,4
-0.53821623,-0.2561547,-0.011562087,0.11000001,144.0,4
-0.47106966,-0.2974869,-0.010778965,0.11000001,147.0,4
-0.41063946,-0.34046638,-0.009551627,0.11000001,150.0,4
-0.3568321,-0.383994,-0.008005585,0.11000001,153.0,4
-0.30944732,-0.42700475,-0.006254191,0.11000001,156.0,4
-0.26819065,-0.4684892,-0.0044008424,0.11000001,159.0,4
-0.23271143,-0.50745124,-0.0025352475,0.11000001,162.0,4
-0.20257545,-0.54301196,-0.0007360277,0.11000001,165.0,4
-0.17731626,-0.57435155,0.00093121995,0.11000001,168.0,4
-0.1564198,-0.6007752,0.0024117047,0.11000001,171.0,4
-0.13935535,-0.62165916,0.0036641525,0.11000001,174.0,4
-0.12557131,-0.63653535,0.0046561854,0.11000001,177.0,4
-0.11450246,-0.64506644,0.00536927,0.11000001,180.0,4
-0.105608255,-0.6470364,0.0057939095,0.11000001,183.0,4
-0.09834815,-0.6423635,0.0059314207,0.11000001,186.0,4
-0.0922052,-0.631118,0.0057927957,0.11000001,189.0,4
-0.08670837,-0.6134764,0.005398337,0.11000001,192.0,4
-0.081397265,-0.5897653,0.0047782245,0.11000001,195.0,4
-0.07587835,-0.560404,0.003967439,0.11000001,198.0,4
-4.7179303,321.9082,0.15199275,0.11000001,0.0,5
2.5384676,37.801434,-0.0035913691,0.11000001,3.0,5
3.484343,7.6010504,-0.03163839,0.11000001,6.0,5
3.7134764,-1.125023,-0.029994914,0.11000001,9.0,5
3.7442398,-4.505743,-0.009922585,0.11000001,12.0,5
3.7255287,-6.002756,0.019348048,0.11000001,15.0,5
3.6717472,-6.713241,0.049050357,0.11000001,18.0,5
3.5558531,-7.0247746,0.074506976,0.11000001,21.0,5
3.362091,-7.0923095,0.0945233,0.11000001,24.0,5
3.093851,-6.9949875,0.109596275,0.11000001,27.0,5
2.7658038,-6.783857,0.12076569,0.11000001,30.0,5
2.3961682,-6.4957604,0.12910746,0.11000001,33.0,5
2.0022955,-6.158053,0.13554573,0.11000001,36.0,5
1.5988395,-5.7909174,0.14081293,0.11000001,39.0,5
1.1973196,-5.408996,0.14545485,0.11000001,42.0,5
0.80636775,-5.022751,0.14985232,0.11000001,45.0,5
