tB,tS,tP,tV,t,Run
32.49169,440.08527,0.51081014,1.1900002,9.0,5
43.238346,438.87814,0.45722127,1.5200001,12.0,5
53.335346,432.55014,0.51390725,1.8500003,15.0,5
62.99181,422.00406,0.64095134,2.1800003,18.0,5
72.371735,407.5187,0.81714535,2.5100005,21.0,5
81.59459,389.2597,1.0289953,2.8400006,24.0,5
90.73003,367.4442,1.266997,3.1700003,27.0,5
99.79093,342.40524,1.524417,3.5,30.0,5
108.72433,314.6369,1.7973381,3.83,33.0,5
117.39963,284.84436,2.0856862,4.1600003,36.0,5
125.59473,254.00621,2.3951008,4.4900007,39.0,5
132.9828,223.43822,2.7392235,4.8200006,42.0,5
139.13084,194.8281,3.1412313,5.150001,45.0,5
143.5322,170.1508,3.6317863,5.4800014,48.0,5
145.70824,151.29817,4.239141,5.8100014,51.0,5
145.39787,139.29701,4.969373,6.140001,54.0,5
142.77567,133.38367,5.7852626,6.4700003,57.0,5
138.5203,130.87016,6.607468,6.8,60.0,5
133.57141,128.55002,7.3537335,7.1299996,63.0,5
128.70874,124.6082,7.987185,7.46,66.0,5
124.32246,119.0898,8.524311,7.7900004,69.0,5
120.49377,112.92032,9.0040455,8.120001,72.0,5
117.17368,106.95508,9.4589205,8.450001,75.0,5
114.28904,101.69173,9.906447,8.780002,78.0,5
111.77241,97.34354,10.352444,9.110002,81.0,5
109.5617,93.953766,10.796395,9.440002,84.0,5
107.595894,91.46509,11.235412,9.770002,87.0,5
105.81313,89.75705,11.666479,10.100002,90.0,5
104.15127,88.671364,12.087569,10.430003,93.0,5
102.54869,88.030556,12.497928,10.760003,96.0,5
100.94467,87.65206,12.89794,11.090004,99.0,5
99.278755,87.35468,13.288684,11.420005,102.0,5
97.48924,86.96085,13.671412,11.750006,105.0,5
95.51148,86.29493,14.046825,12.080007,108.0,5
93.27671,85.18122,14.414108,12.410007,111.0,5
90.71332,83.44601,14.769581,12.740008,114.0,5
87.75361,80.93043,15.104787,13.070009,117.0,5
84.35095,77.522766,15.404229,13.40001,120.0,5
80.51119,73.2147,15.643857,13.730011,123.0,5
76.33514,68.168144,15.792942,14.060012,126.0,5
72.04669,62.746372,15.822784,14.390014,129.0,5
67.96179,57.44556,15.722086,14.720015,132.0,5
64.37861,52.733047,15.509601,15.050015,135.0,5
61.45412,48.899277,15.2309,15.380016,138.0,5
59.16873,46.022434,14.939075,15.710017,141.0,5
57.391724,44.02414,14.674788,16.040018,144.0,5
55.96985,42.7476,14.458514,16.37002,147.0,5
54.778374,42.020054,14.294029,16.70002,150.0,5
53.732105,41.690212,14.17572,17.030022,153.0,5
52.777885,41.641396,14.094534,17.360022,156.0,5
51.883865,41.790142,14.041411,17.690023,159.0,5
51.031162,42.079056,14.008697,18.020023,162.0,5
50.20846,42.469414,13.99047,18.350025,165.0,5
49.408894,42.935074,13.982377,18.680025,168.0,5
48.628082,43.458336,13.981332,19.010027,171.0,5
47.863148,44.027115,13.98519,19.340027,174.0,5
47.112072,44.633156,13.992491,19.670029,177.0,5
46.373344,45.270683,14.002239,20.00003,180.0,5
45.64576,45.93575,14.013779,20.33003,183.0,5
44.928326,46.625347,14.026659,20.660032,186.0,5
44.22012,47.337463,14.040594,20.990032,189.0,5
43.52032,48.070755,14.055387,21.320034,192.0,5
42.82817,48.824097,14.070902,21.650034,195.0,5
42.14297,49.59668,14.087051,21.980034,198.0,5
-6.295027,-22.747099,2.1238747,0.2,0.0,6
-8.274234,378.697,2.7605495,0.53000003,3.0,6
7.9681573,393.25244,1.5906482,0.86000013,6.0,6
21.485283,396.4376,1.1316009,1.1900002,9.0,6
33.687756,395.77374,0.92309475,1.5200001,12.0,6
44.963043,392.84933,0.8523916,1.8500003,15.0,6
55.524746,387.46597,0.875119,2.1800003,18.0,6
65.545265,379.03262,0.9675753,2.5100005,21.0,6
75.1706,367.06097,1.1140869,2.8400006,24.0,6
84.50971,351.32407,1.302949,3.1700003,27.0,6
93.62037,331.8841,1.5252073,3.5,30.0,6
102.495575,309.08414,1.7746998,3.83,33.0,6
111.050835,283.54355,2.0489037,4.1600003,36.0,6
119.111984,256.1724,2.3504212,4.4900007,39.0,6
126.40602,228.19519,2.6887639,4.8200006,42.0,6
132.56361,201.15457,3.0814102,5.150001,45.0,6
137.15082,176.8242,3.5520916,5.4800014,48.0,6
139.75536,156.91354,4.1232176,5.8100014,51.0,6
140.13861,142.48734,4.8012037,6.140001,54.0,6
138.40617,133.29123,5.560986,6.4700003,57.0,6
135.06746,127.60045,6.345746,6.8,60.0,6
130.87106,123.09485,7.0925183,7.1299996,63.0,6
126.50024,118.18089,7.7659817,7.46,66.0,6
122.37336,112.524284,8.368327,7.7900004,69.0,6
118.656815,106.579865,8.921884,8.120001,72.0,6
115.37598,100.939445,9.448525,8.450001,75.0,6
112.50048,96.020836,9.960904,8.780002,78.0,6
109.98011,92.028786,10.463106,9.110002,81.0,6
107.75496,89.000534,10.9543295,9.440002,84.0,6
105.75847,86.85668,11.432168,9.770002,87.0,6
103.92046,85.443375,11.894596,10.100002,90.0,6
102.169914,84.56634,12.340808,10.430003,93.0,6
100.436844,84.01608,12.771205,10.760003,96.0,6
98.65246,83.583885,13.186984,11.090004,99.0,6
96.74838,83.06711,13.589419,11.420005,102.0,6
94.65519,82.27127,13.979013,11.750006,105.0,6
92.302246,81.01008,14.354361,12.080007,108.0,6
89.6204,79.11063,14.7106695,12.410007,111.0,6
86.551346,76.431206,15.037909,12.740008,114.0,6
83.06765,72.8992,15.319036,13.070009,117.0,6
79.204544,68.56678,15.529814,13.40001,120.0,6
75.0941,63.6627,15.642844,13.730011,123.0,6
70.972466,58.58797,15.637851,14.060012,126.0,6
67.12631,53.81483,15.515104,14.390014,129.0,6
63.786663,49.730885,15.301783,14.720015,132.0,6
61.04398,46.532642,15.043202,15.050015,135.0,6
58.849224,44.228363,14.784555,15.380016,138.0,6
57.0806,42.706352,14.556813,15.710017,141.0,6
55.61047,41.80746,14.373644,16.040018,144.0,6
54.33831,41.375896,14.235895,16.37002,147.0,6
53.195484,41.282627,14.13771,16.70002,150.0,6
52.138485,41.431095,14.071072,17.030022,153.0,6
51.140564,41.752663,14.028268,17.360022,156.0,6
50.18538,42.200333,14.002878,17.690023,159.0,6
49.262802,42.741726,13.989961,18.020023,162.0,6
48.366383,43.35468,13.985882,18.350025,165.0,6
47.491795,44.024296,13.988065,18.680025,168.0,6
46.635983,44.740005,13.994706,19.010027,171.0,6
45.796745,45.494404,14.004575,19.340027,174.0,6
44.97229,46.282345,14.0168295,19.670029,177.0,6
44.16107,47.100193,14.030894,20.00003,180.0,6
43.361816,47.945194,14.046388,20.33003,183.0,6
42.57333,48.815693,14.063049,20.660032,186.0,6
41.794582,49.710278,14.080695,20.990032,189.0,6
41.024597,50.62786,14.099201,21.320034,192.0,6
40.262405,51.567936,14.118488,21.650034,195.0,6
39.50716,52.529995,14.138491,21.980034,198.0,6
6.1565833,90.4518,1.8400258,0.2,0.0,7
5.160752,395.78232,1.6911563,0.53000003,3.0,7
18.241962,414.28427,0.9731076,0.86000013,6.0,7
29.938784,416.98663,0.7282752,1.1900002,9.0,7
40.794918,414.1763,0.65765554,1.5200001,12.0,7
